com.asiainfo.aipay.bank.service.interfaces.IAlipayBusiProcSV com.asiainfo.aipay.bank.service.interfaces.IAlipayBusiProcSV
IPhoneAppSV.paymentReq IUpgOrderSV.qryUpgOrderValues
IPhoneAppSV.paymentReq IUpgOrderSV.saveOrder
IPhoneAppSV.paymentReq IUpgOrderSV.updateOrderValue
IPhoneAppSV.paymentReq IUpgPayStatSV.saveBusiNessStat
IPhoneAppSV.payNotice ICommonSV.getNewSequence
IPhoneAppSV.payNotice IOrderInterSV.qryUpgOrderValues
IPhoneAppSV.payNotice IOrderInterSV.saveBusiLogValue
IPhoneAppSV.payNotice IUpgOrderSV.qryUpgOrderValues
IPhoneAppSV.payQRCode IBankInterSV.verifyCheckCode
IPhoneAppSV.payQRCode IBsContractPaySV.quickPay
IPhoneAppSV.payQRCode IBsMerchantInfoSV.getMerchantInfo
IPhoneAppSV.payQRCode ICommonSV.getNewSequence
IPhoneAppSV.payQRCode IDimensionalCodeProcSV.analyzeDimensionalCode
IPhoneAppSV.payQRCode IOrderInterSV.getNewOrderId
IPhoneAppSV.payQRCode IOrderInterSV.getNewUpgSeq
IPhoneAppSV.payQRCode IOrderInterSV.qryOrderValueByOrderId
IPhoneAppSV.payQRCode IOrderInterSV.qryUpgOrderValues
IPhoneAppSV.payQRCode IOrderInterSV.saveBusiLogValue
IPhoneAppSV.payQRCode IOrderLogSV.getNewUpgSeq
IPhoneAppSV.payQRCode IUpgBusiAccountSV.queryUpgBusiAccount
IPhoneAppSV.payQRCode IUpgBusiLogSV.getPlatFormSeq
IPhoneAppSV.payQRCode IUpgBusiLogSV.getUpgBusiLog
IPhoneAppSV.payQRCode IUpgContractInfoSV.queryContarctInfoByArgId
IPhoneAppSV.payQRCode IUpgOrderElementInsSV.getElementValue
IPhoneAppSV.payQRCode IUpgOrderElementInsSV.getOrderElementValues
IPhoneAppSV.payQRCode IUpgOrderSV.getChargeAccountCode
IPhoneAppSV.payQRCode IUpgOrderSV.getOrderId
IPhoneAppSV.payQRCode IUpgOrderSV.qryOrderValueByOrderId
IPhoneAppSV.payQRCode IUpgOrderSV.saveOrder
IPhoneAppSV.payQRCode IUpgOrderSV.updateOrderValue
IPhoneAppSV.queryContractInfo ICommonSV.getNewSequence
IPhoneAppSV.queryContractInfo IContractInterSV.queryContarctInfos
IPhoneAppSV.queryContractInfo IOrderInterSV.getNewUpgSeq
IPhoneAppSV.queryContractInfo IOrderInterSV.qryOrderValueByOrderId
IPhoneAppSV.queryContractInfo IOrderInterSV.saveBusiLogValue
IPhoneAppSV.queryContractInfo IOrderInterSV.saveOrder
IPhoneAppSV.queryContractInfo IUpgContractInfoSV.queryContarctInfo
IPhoneAppSV.queryContractInfo IUpgOrderElementInsSV.saveUpgOrderElementIns
IPhoneAppSV.signReq IBankInterSV.checkCardInfo
IPhoneAppSV.signReq ICommonSV.getNewSequence
IPhoneAppSV.signReq IContractInterSV.queryContarctInfos
IPhoneAppSV.signReq IOrderInterSV.qryOrderValueByOrderId
IPhoneAppSV.signReq IOrderInterSV.saveBusiLogValue
IPhoneAppSV.signReq IOrderInterSV.saveOrder
IPhoneAppSV.signReq IOrderLogSV.getNewUpgSeq
IPhoneAppSV.signReq IUpgAgreementElementInsSV.getUpgAgrElement
IPhoneAppSV.signReq IUpgAgreementElementInsSV.saveUpgAgrElement
IPhoneAppSV.signReq IUpgBankCardInfoSV.queryUpgBankCardInfo
IPhoneAppSV.signReq IUpgBankCardInfoSV.saveUpgBankCardInfo
IPhoneAppSV.signReq IUpgBusiLogSV.getBusiLogWrongCount
IPhoneAppSV.signReq IUpgKeyManagerSV.decryptBean
IPhoneAppSV.signYCZ IBankInterSV.signContract
IPhoneAppSV.signYCZ IBankInterSV.verifyCheckCode
IPhoneAppSV.signYCZ IBsSignContractSV.doSignContract
IPhoneAppSV.signYCZ ICmCommonInnerSV.getBeans
IPhoneAppSV.signYCZ ICommonSV.getNewSequence
IPhoneAppSV.signYCZ IContractInterSV.dealContract
IPhoneAppSV.signYCZ IContractInterSV.getUpgAgreement
IPhoneAppSV.signYCZ IContractInterSV.queryContarctInfos
IPhoneAppSV.signYCZ IContractInterSV.realtimiCalculatePri
IPhoneAppSV.signYCZ IContractInterSV.saveUpgAgreement
IPhoneAppSV.signYCZ ICrmInterSV.sendMessage
IPhoneAppSV.signYCZ IOrderInterSV.getNewUpgSeq
IPhoneAppSV.signYCZ IOrderInterSV.qryOrderValueByOrderId
IPhoneAppSV.signYCZ IOrderInterSV.saveBusiLogValue
IPhoneAppSV.signYCZ IOrderInterSV.saveOrder
IPhoneAppSV.signYCZ IOrderInterSV.updateOrderValue
IPhoneAppSV.signYCZ IOrderLogSV.getNewUpgSeq
IPhoneAppSV.signYCZ IPayNoticeSV.noticeBind2plat
IPhoneAppSV.signYCZ ISafeInterSV.checkUpgCaptcha
IPhoneAppSV.signYCZ IUpgAgreementElementInsSV.getUpgAgrElement
IPhoneAppSV.signYCZ IUpgAgreementSycnSV.addSycnRecord
IPhoneAppSV.signYCZ IUpgBusiAccountSV.queryUpgBusiAccount
IPhoneAppSV.signYCZ IUpgBusiDataTmpSV.saveBusiDataTmpValue
IPhoneAppSV.signYCZ IUpgBusiLogSV.getUpgBusiLog
IPhoneAppSV.signYCZ IUpgContractInfoSV.queryContarctInfo
IPhoneAppSV.signYCZ IUpgContractInfoSV.queryPassword
IPhoneAppSV.signYCZ IUpgContractInfoSV.saveUpgPassword
IPhoneAppSV.signYCZ IUpgCustInfoSV.queryCustInfo
IPhoneAppSV.signYCZ IUpgKeyManagerSV.decryptBean
IPhoneAppSV.signYCZ IUpgOrderSV.getOrderId
IPhoneAppSV.signYCZ IUpgPayStatSV.saveBusiNessStat
IPhoneAppSV.signYCZ IUpgServiceSV.checkIsCanBind
ISmsYczProcSV.dealSmsYcz IBankInterSV.cancelContract
ISmsYczProcSV.dealSmsYcz IBankInterSV.changeContract
ISmsYczProcSV.dealSmsYcz IBankInterSV.checkCardAttribution
ISmsYczProcSV.dealSmsYcz IBankInterSV.checkCardInfo
ISmsYczProcSV.dealSmsYcz IBankInterSV.creditPay
ISmsYczProcSV.dealSmsYcz IBankInterSV.pay
ISmsYczProcSV.dealSmsYcz IBankInterSV.quickPay
ISmsYczProcSV.dealSmsYcz IBankInterSV.sendMessageBank
ISmsYczProcSV.dealSmsYcz IBankInterSV.signContract
ISmsYczProcSV.dealSmsYcz IBankInterSV.verifyCheckCode
ISmsYczProcSV.dealSmsYcz IBatchAsynDealWithSV.dealPayNotify2BusiPlat
ISmsYczProcSV.dealSmsYcz IBsKeyManageSV.getBsKeyManageByChannelId
ISmsYczProcSV.dealSmsYcz ICommonSV.getNewSequence
ISmsYczProcSV.dealSmsYcz IContractInterSV.changeContract
ISmsYczProcSV.dealSmsYcz IContractInterSV.dealContract
ISmsYczProcSV.dealSmsYcz IContractInterSV.getDefaultContract
ISmsYczProcSV.dealSmsYcz IContractInterSV.getUpgAgreement
ISmsYczProcSV.dealSmsYcz IContractInterSV.queryContarctInfos
ISmsYczProcSV.dealSmsYcz IContractInterSV.realtimiCalculatePri
ISmsYczProcSV.dealSmsYcz IContractInterSV.saveUpgAgreement
ISmsYczProcSV.dealSmsYcz IContractInterSV.stopContract
ISmsYczProcSV.dealSmsYcz ICrmInterSV.queryCustomerInfo
ISmsYczProcSV.dealSmsYcz ICrmInterSV.sendMessage
ISmsYczProcSV.dealSmsYcz ICustInterSV.checkPayPassword
ISmsYczProcSV.dealSmsYcz IOrderInterSV.getNewUpgSeq
ISmsYczProcSV.dealSmsYcz IOrderInterSV.getNowMentMoney
ISmsYczProcSV.dealSmsYcz IOrderInterSV.qryOrderValueByOrderId
ISmsYczProcSV.dealSmsYcz IOrderInterSV.qryUpgOrderValues
ISmsYczProcSV.dealSmsYcz IOrderInterSV.saveBusiLogValue
ISmsYczProcSV.dealSmsYcz IOrderInterSV.saveOrder
ISmsYczProcSV.dealSmsYcz IOrderInterSV.updateOrderValue
ISmsYczProcSV.dealSmsYcz IPayNoticeSV.noticeBind2plat
ISmsYczProcSV.dealSmsYcz ISafeInterSV.checkUpgCaptcha
ISmsYczProcSV.dealSmsYcz ISmsYczSV.dealSmsYcz
ISmsYczProcSV.dealSmsYcz IUpgAgreementElementInsSV.queryAgerementHisByAgreementId
ISmsYczProcSV.dealSmsYcz IUpgAgreementSycnSV.addSycnRecord
ISmsYczProcSV.dealSmsYcz IUpgBusiAccountSV.queryUpgBusiAccount
ISmsYczProcSV.dealSmsYcz IUpgBusiDataTmpSV.getBusiDataTmp
ISmsYczProcSV.dealSmsYcz IUpgBusiDataTmpSV.saveBusiDataTmpValue
ISmsYczProcSV.dealSmsYcz IUpgBusiLogSV.getPlatFormSeq
ISmsYczProcSV.dealSmsYcz IUpgBusiLogSV.getUpgBusiLog
ISmsYczProcSV.dealSmsYcz IUpgBusiNessInSV.saveUpgBusiNessIn
ISmsYczProcSV.dealSmsYcz IUpgCommonWsSV.sendRequest
ISmsYczProcSV.dealSmsYcz IUpgContractInfoSV.getUpgAgreement
ISmsYczProcSV.dealSmsYcz IUpgContractInfoSV.queryCustbank
ISmsYczProcSV.dealSmsYcz IUpgContractInfoSV.queryPassword
ISmsYczProcSV.dealSmsYcz IUpgContractInfoSV.saveUpgPassword
ISmsYczProcSV.dealSmsYcz IUpgCreditPaymentSV.queryCreditInfo
ISmsYczProcSV.dealSmsYcz IUpgCustInfoSV.queryCustInfo
ISmsYczProcSV.dealSmsYcz IUpgOrderElementInsSV.addElementInsValue
ISmsYczProcSV.dealSmsYcz IUpgOrderElementInsSV.addElementInsValues
ISmsYczProcSV.dealSmsYcz IUpgOrderSV.updateOrderValue
ISmsYczProcSV.dealSmsYcz IUpgPayStatSV.saveBusiNessStat
ISmsYczProcSV.dealSmsYcz IUpgServiceSV.checkIsCanBind
IUpgBusiNessInSV.dealChargeReminder IUpgCheckSV.getOrderId
IUpgBusiNessInSV.dealChargeReminder IUpgKeyManagerSV.encrypBean
IUpgCancelTransfSV.dealCancelTransf ICommonSV.getNewSequence
IUpgCancelTransfSV.dealCancelTransf IOrderInterSV.saveBusiLogValue
IUpgCancelTransfSV.dealCancelTransf IPayNoticeSV.noticeBind2plat
IUpgCancelTransfSV.dealCancelTransf IUpgAcctSpecialSV.deleteSpecialAcct
IUpgCancelTransfSV.dealCancelTransf IUpgAgreementDefaultSV.deleteAgreement
IUpgCancelTransfSV.dealCancelTransf IUpgAgreementElementInsSV.queryAgerementHisByAgreementId
IUpgCancelTransfSV.dealCancelTransf IUpgAgreementSycnSV.addSycnRecord
IUpgCancelTransfSV.dealCancelTransf IUpgBusiAccountSV.queryUpgBusiAccount
IUpgCancelTransfSV.dealCancelTransf IUpgBusiNessInSV.qryBusinessInLowValues
IUpgCancelTransfSV.dealCancelTransf IUpgBusiNessInSV.saveUpgBusiNessInLow
IUpgCancelTransfSV.dealCancelTransf IUpgCheckSV.getOrderId
IUpgCancelTransfSV.dealCancelTransf IUpgCheckSV.getPaymentLogId
IUpgCancelTransfSV.dealCancelTransf IUpgContractInfoSV.queryAgerementByAgreementId
IUpgCancelTransfSV.dealCancelTransf IUpgContractInfoSV.queryContarctInfo
IUpgCancelTransfSV.dealCancelTransf IUpgCustInfoSV.destroyAcct
IUpgCancelTransfSV.dealCancelTransf IUpgKeyManagerSV.decryptBean
IUpgCancelTransfSV.dealCancelTransf IUpgKeyManagerSV.encrypBean
IUpgCancelTransfSV.dealCancelTransf IUpgOrderSV.getOrderId
IUpgCancelTransfSV.dealCancelTransf IUpgOrderSV.saveBusiLogValue
IUpgCancelTransfSV.dealCancelTransf IUpgOrderSV.saveOrder
IUpgCancelTransfSV.dealCancelTransf IUpgPayStatSV.saveBusiNessStat
